ID,Zone_Band,Xcoord,Ycoord
1022,10S,554221,4163291
1023,10S,547375,4169646
1024,10S,544999,4166299
1025,10S,554578,4163172
1026,10S,549588,4163262
1027,10S,550212,4172237
1028,10S,546707,4171523
1029,10S,552968,4165699
1030,10S,552947,4168558
1031,10S,553461,4165756
1032,10S,554474,4163538
1033,10S,546220,4168238
1034,10S,546921,4165633
1035,10S,546685,4170357
1036,10S,547735,4168540
1037,10S,551806,4167492
1038,10S,550357,4164612
1039,10S,554386,4163504
1040,10S,544713,4172513
1041,10S,554039,4163798
1042,10S,550785,4164092
1043,10S,554406,4163463
1044,10S,551228,4163425
1045,10S,547133,4173341
1046,10S,550829,4162051
1047,10S,554164,4163654
1048,10S,545842,4172992
1049,10S,545944,4165093
1050,10S,552461,4167967
1051,10S,551032,4169252
1052,10S,552581,4166709
1053,10S,549249,4163717
1054,10S,546631,4170406
1055,10S,544839,4165956
1056,10S,553974,4163899
1057,10S,553636,4162863
1058,10S,552433,4165261
1059,10S,552273,4167631
1060,10S,553869,4161737
1061,10S,551756,4162495
1062,10S,554340,4163514
1063,10S,554411,4162601
1064,10S,548698,4167117
1065,10S,547283,4168429
1066,10S,553023,4163722
1067,10S,550568,4164370
1068,10S,552785,4164969
1069,10S,548256,4166338
1070,10S,546306,4165377
1071,10S,550512,4164375
1072,10S,551033,4169214
1073,10S,551053,4165898
1074,10S,553626,4170908
1075,10S,549556,4165425
1076,10S,546216,4173274
1077,10S,554965,4161952
1078,10S,554309,4163597
1079,10S,546971,4170027
1080,10S,551627,4163113
1081,10S,545047,4167106
1082,10S,553782,4161942
1083,10S,548022,4168236
1084,10S,550522,4164439
1085,10S,548526,4166761
1086,10S,545842,4169899
1087,10S,554435,4161635
1088,10S,547348,4169053
1089,10S,552261,4172421
1090,10S,548015,4167519
1091,10S,544891,4162779
1092,10S,549722,4163130
1093,10S,553798,4166082
1094,10S,554337,4163445
1095,10S,551402,4165252
1096,10S,554084,4163291
1097,10S,546217,4172537
1098,10S,555109,4161774
1099,10S,553745,4161920
1100,10S,551856,4167621
1101,10S,554259,4163596
1102,10S,546758,4169798
1103,10S,552774,4164747
1104,10S,553662,4171550
1105,10S,556459,4174802
1106,10S,550943,4180696
1107,10S,549629,4180828
1108,10S,550999,4182204
1109,10S,552418,4179888
1110,10S,552041,4182171
1111,10S,552523,4181988
1112,10S,552087,4181257
1113,10S,551846,4182327
1114,10S,551911,4182323
1115,10S,545471,4178628
1116,10S,544811,4178167
1117,10S,553360,4167758
1118,10S,550221,4180353
1119,10S,551482,4181031
1120,10S,551699,4180736
1121,10S,550745,4182163
1122,10S,551061,4181556
1123,10S,552373,4181727
1124,10S,553172,4183631
1125,10S,551666,4180515
1126,10S,552574,4178750
1127,10S,552824,4183064
1128,10S,552694,4181855
1129,10S,552782,4182136
1130,10S,552572,4175821
1131,10S,552832,4183112
1132,10S,552750,4182938
1133,10S,550166,4180434
1134,10S,551988,4182199
1135,10S,546329,4176400
1136,10S,550887,4183408
1137,10S,546162,4175454
1138,10S,545386,4175605
1139,10S,545383,4175616
1140,10S,544643,4175860
1141,10S,553840,4182482
1142,10S,544991,4179286
1143,10S,543742,4180669
1144,10S,550111,4181855
1145,10S,548906,4175650
1146,10S,546091,4179161
1147,10S,553834,4182483
1148,10S,545868,4180151
1149,10S,551321,4181253
1150,10S,544907,4179641
1151,10S,552884,4182634
1152,10S,553856,4182405
1153,10S,553739,4181420
1154,10S,553845,4181364
1155,10S,552818,4175008
1156,10S,551436,4182287
1157,10S,545910,4168320
1158,10S,552320,4183991
1159,10S,544315,4174600
1160,10S,551644,4182178
1161,10S,552456,4182108
1162,10S,552305,4182309
1163,10S,551940,4181865
1164,10S,551312,4183381
1165,10S,553725,4181452
1166,10S,549601,4175448
1167,10S,546263,4168162
1168,10S,545908,4168777
1169,10S,546767,4168598
1170,10S,547954,4173987
1171,10S,549228,4175597
1172,10S,551584,4182324
1173,10S,551420,4182261
1174,10S,544072,4174728
1175,10S,552747,4181758
1176,10S,552769,4181719
1177,10S,543626,4178523
1178,10S,552040,4183267
1179,10S,544687,4166815
1180,10S,551308,4183386
1181,10S,553746,4176666
1182,10S,547587,4168165
1183,10S,551880,4184033
1184,10S,553844,4174641
1185,10S,552829,4176142
1186,10S,552100,4182324
1187,10S,552161,4182324
1188,10S,552163,4182020
1189,10S,552160,4182020
1190,10S,553273,4179766
1191,10S,552831,4182729
1192,10S,552518,4183241
1193,10S,551920,4182221
1194,10S,551867,4182226
1195,10S,553055,4182961
1196,10S,553266,4179741
1197,10S,554464,4167712
1198,10S,552644,4183242
1199,10S,543785,4179507
1200,10S,552129,4182409
1201,10S,551322,4181100
1202,10S,551130,4182284
1203,10S,552926,4183263
1204,10S,552411,4183063
1205,10S,543279,4179308
1206,10S,551452,4178059
1207,10S,544717,4176887
1208,10S,551646,4182183
1209,10S,550837,4177375
1210,10S,551731,4181800
1211,10S,544408,4180727
1212,10S,544076,4180423
1213,10S,544736,4180721
1214,10S,551965,4184609
1215,10S,546764,4178026
1216,10S,552904,4183365
1217,10S,550524,4177976
1218,10S,544896,4180709
1219,10S,551321,4181215
1220,10S,550742,4177159
1221,10S,551029,4181538
1222,10S,551122,4181535
1223,10S,545836,4176818
1224,10S,545775,4176777
1225,10S,552879,4183511
1226,10S,545270,4176988
1227,10S,552882,4182954
1228,10S,552894,4183091
1229,10S,550201,4178230
1230,10S,544950,4180584
1231,10S,552339,4183005
1232,10S,554557,4163566
1233,10S,551787,4184016
1234,10S,552846,4183423
1235,10S,548469,4184115
1236,10S,551480,4178088
1237,10S,552398,4183069
1238,10S,547021,4180349
1239,10S,552155,4183239
1240,10S,547222,4184057
1241,10S,547599,4184163
1242,10S,546112,4184746
1243,10S,546181,4184552
1244,10S,551828,4184024
1245,10S,548870,4175791
1246,10S,546124,4175094
1247,10S,552883,4182871
1248,10S,552757,4164908
1249,10S,553081,4163669
1250,10S,545421,4173975
1251,10S,549342,4184011
1252,10S,553071,4163817
1253,10S,552748,4164962
1254,10S,550811,4164353
1255,10S,549892,4184637
1256,10S,553620,4182278
1257,10S,553436,4182101
1258,10S,550361,4176398
1259,10S,549375,4176979
1260,10S,550815,4176558
1261,10S,552046,4164713
1262,10S,546285,4177810
1263,10S,546280,4177247
1264,10S,546965,4168421
1265,10S,552147,4182429
1266,10S,553437,4182103
1267,10S,553572,4182278
1268,10S,548779,4174418
1269,10S,553346,4182352
1270,10S,548439,4175144
1271,10S,550029,4179422
1272,10S,549585,4179476
1273,10S,546161,4178548
1274,10S,546256,4178632
1275,10S,551861,4176975
1276,10S,552369,4176406
1277,10S,552506,4178063
1278,10S,552240,4176867
1279,10S,552585,4178636
1280,10S,548675,4184222
1281,10S,546054,4167825
1282,10S,552531,4177928
1283,10S,545138,4172642
1284,10S,546198,4168066
1285,10S,545939,4168738
1286,10S,545851,4168848
1287,10S,550235,4180345
1288,10S,547976,4166974
1289,10S,554054,4163561
1290,10S,554016,4163507
1291,10S,555132,4161698
1292,10S,545937,4172970
1293,10S,550553,4164560
1294,10S,547141,4168379
1295,10S,546651,4171128
1296,10S,550225,4180395
1297,10S,544525,4174744
1298,10S,554149,4163596
1299,10S,554529,4162554
1300,10S,554509,4162687
1301,10S,551178,4165104
1302,10S,544445,4172473
1303,10S,545962,4180156
1304,10S,546779,4171328
1305,10S,546035,4171040
1306,10S,545756,4182773
1307,10S,545083,4181554
1308,10S,550970,4180523
1309,10S,553295,4183530
1310,10S,545642,4169907
1311,10S,551327,4165272
1312,10S,552385,4165380
1313,10S,546591,4170318
1314,10S,545759,4180719
1315,10S,546155,4179291
1316,10S,544650,4179765
1317,10S,554862,4162169
1318,10S,552572,4178718
1319,10S,549271,4182062
1320,10S,546524,4180534
1321,10S,551032,4180805
1322,10S,551119,4181118
1323,10S,551149,4181095
1324,10S,552516,4183546
1325,10S,552761,4183090
1326,10S,552821,4183503
1327,10S,549463,4166068
1328,10S,549680,4166042
1329,10S,552412,4165210
1330,10S,552527,4165544
1331,10S,552234,4183544
1332,10S,549185,4175752
1333,10S,550003,4182410
1334,10S,550068,4181763
1335,10S,550097,4181759
1336,10S,552557,4166682
1337,10S,546418,4172092
1338,10S,549788,4174996
1339,10S,549803,4179738
1340,10S,552248,4172790
1341,10S,549325,4182121
1342,10S,552443,4163316
1343,10S,549985,4175924
1344,10S,552504,4165479
1345,10S,552574,4166742
1346,10S,550106,4179560
1347,10S,551571,4178332
1348,10S,552262,4183544
1349,10S,551803,4181560
1350,10S,546391,4181195
1351,10S,552906,4165211
1352,10S,546641,4170273
1353,10S,553374,4173146
1354,10S,553179,4174099
1355,10S,553433,4167828
1356,10S,547802,4165602
1357,10S,553336,4172919
1358,10S,554161,4163595
1359,10S,553738,4181535
1360,10S,552044,4173901
1361,10S,546290,4175543
1362,10S,546574,4182327
1363,10S,546285,4175503
1364,10S,546550,4182418
1365,10S,546331,4176505
1366,10S,546387,4176324
1367,10S,554275,4163311
1368,10S,554139,4163260
1369,10S,550798,4161931
1370,10S,554274,4163565
1371,10S,545290,4182168
1372,10S,550959,4181526
1373,10S,550989,4181931
1374,10S,550773,4181720
1375,10S,551199,4179273
1376,10S,554117,4163226
1377,10S,554324,4163437
1378,10S,554192,4163350
1379,10S,550930,4163410
1380,10S,550608,4164131
1381,10S,553747,4166708
1382,10S,550812,4179710
1383,10S,553189,4183167
1384,10S,553185,4183174
1385,10S,554234,4163309
1386,10S,549914,4182458
1387,10S,550723,4181421
1388,10S,545689,4171773
1389,10S,545293,4174917
1390,10S,550692,4173925
1391,10S,551960,4178203
1392,10S,544915,4180504
1393,10S,545428,4180761
1394,10S,544955,4180555
1395,10S,545317,4180709
1396,10S,550709,4181741
1397,10S,554292,4163418
1398,10S,553568,4176151
1399,10S,553498,4176316
1400,10S,554194,4163608
1401,10S,554264,4163439
1402,10S,550136,4164195
1403,10S,550966,4181954
1404,10S,545696,4172279
1405,10S,550726,4162138
1406,10S,551873,4184709
1407,10S,553079,4173729
1408,10S,554433,4167850
1409,10S,551996,4163863
1410,10S,550187,4181051
1411,10S,554188,4163292
1412,10S,548105,4167201
1413,10S,550977,4179253
1414,10S,553363,4180618
1415,10S,553581,4182094
1416,10S,552834,4183291
1417,10S,552819,4183286
1418,10S,553882,4162014
1419,10S,553770,4162883
1420,10S,554835,4161704
1421,10S,552161,4182233
1422,10S,553716,4161762
1423,10S,552758,4162988
1424,10S,552757,4183487
1425,10S,552759,4183395
1426,10S,554956,4161683
1427,10S,554319,4177822
1428,10S,553268,4181106
1429,10S,553502,4180692
1430,10S,553734,4162918
1431,10S,547521,4166531
1432,10S,554405,4178310
1433,10S,551886,4184670
1434,10S,553167,4181017
1435,10S,553538,4163426
1436,10S,550976,4179592
1437,10S,553316,4181196
1438,10S,550786,4180852
1439,10S,551229,4180447
1440,10S,550772,4180739
1441,10S,552919,4181641
1442,10S,551306,4180524
1443,10S,551645,4180385
1444,10S,551046,4180430
1445,10S,549419,4179128
1446,10S,545376,4176061
1447,10S,552536,4167763
1448,10S,552474,4167479
1449,10S,552463,4167618
1450,10S,552741,4168548
1451,10S,552169,4167187
1452,10S,553065,4181684
1453,10S,550989,4183611
1454,10S,550929,4181166
1455,10S,551186,4180191
1456,10S,550592,4180028
1457,10S,550255,4179575
1458,10S,550738,4181097
1459,10S,553168,4162104
1460,10S,553885,4163647
1461,10S,552792,4168555
1462,10S,550430,4183695
1463,10S,553596,4181399
1464,10S,550424,4181242
1465,10S,552721,4183309
1466,10S,546615,4175078
1467,10S,550215,4183656
1468,10S,553578,4165944
1469,10S,551034,4184087
1470,10S,548381,4180318
1471,10S,546944,4180477
1472,10S,548022,4181132
1473,10S,553331,4171339
1474,10S,552502,4167313
1475,10S,544963,4182015
1476,10S,546829,4173944
1477,10S,546904,4173764
1478,10S,547878,4182222
1479,10S,547029,4180240
1480,10S,554057,4182032
1481,10S,553374,4172106
1482,10S,554046,4182061
1483,10S,550202,4183805
1484,10S,554414,4161787
1485,10S,550975,4179276
1486,10S,548550,4179786
1487,10S,550363,4179970
1488,10S,546838,4176285
1489,10S,550756,4181317
1490,10S,546326,4174284
1491,10S,551509,4182446
1492,10S,555486,4176922
1493,10S,549428,4182811
1494,10S,553608,4179762
1495,10S,555341,4177012
1496,10S,549202,4183767
1497,10S,549850,4183757
1498,10S,549369,4166788
1499,10S,549100,4167552
1500,10S,550997,4166486
1501,10S,551055,4166293
1502,10S,551992,4167579
1503,10S,551674,4167308
1504,10S,544648,4165774
1505,10S,548790,4183962
1506,10S,549767,4183701
1507,10S,550584,4171866
1508,10S,545906,4175882
1509,10S,552571,4177389
1510,10S,553763,4181421
1511,10S,552281,4184492
1512,10S,553863,4180202
1513,10S,551440,4182494
1514,10S,549287,4182585
1515,10S,554656,4163822
1516,10S,544446,4164536
1517,10S,553441,4168846
1518,10S,553613,4171494
1519,10S,553590,4171410
1520,10S,553078,4177559
1521,10S,553504,4168881
1522,10S,549691,4166878
1523,10S,553705,4178696
1524,10S,548809,4177649
1525,10S,549111,4180702
1526,10S,549106,4180685
1527,10S,552070,4164305
1528,10S,552633,4175891
1529,10S,552628,4175721
1530,10S,553646,4172077
1531,10S,549385,4181128
1532,10S,548631,4177737
1533,10S,547265,4177800
1534,10S,551634,4181868
1535,10S,549214,4181222
1536,10S,549800,4180780
1537,10S,549597,4180937
1538,10S,547323,4177783
1539,10S,545617,4167096
1540,10S,552902,4174897
1541,10S,547418,4167038
1542,10S,550550,4182801
1543,10S,551541,4181439
1544,10S,551175,4182145
1545,10S,551896,4168948
1546,10S,551278,4182415
1547,10S,551918,4181512
1548,10S,552294,4180275
1549,10S,549965,4183255
1550,10S,552196,4180293
1551,10S,552673,4179940
1552,10S,552291,4180060
1553,10S,552059,4180290
1554,10S,552838,4179836
1555,10S,552874,4174887
1556,10S,551871,4181546
1557,10S,551811,4167863
1558,10S,552656,4180609
1559,10S,552527,4180597
1560,10S,552883,4182799
1561,10S,550315,4184247
1562,10S,548582,4182901
1563,10S,552109,4182239
1564,10S,553771,4178298
1565,10S,553294,4162340
1566,10S,551121,4169214
1567,10S,553560,4175973
1568,10S,553700,4177044
1569,10S,551594,4181991
1570,10S,548988,4183828
1571,10S,553870,4163632
1572,10S,546682,4167474
1573,10S,546686,4166852
1574,10S,548677,4177680
1575,10S,551307,4184638
1576,10S,554168,4163643
1577,10S,553857,4163340
1578,10S,552849,4183056
1579,10S,550487,4165104
1580,10S,549562,4165429
1581,10S,550306,4164618
1582,10S,549885,4177502
1583,10S,552333,4180008
1584,10S,551535,4181406
1585,10S,552148,4183696
1586,10S,551995,4183941
1587,10S,547951,4177405
1588,10S,547939,4177399
1589,10S,552668,4182016
1590,10S,553516,4183095
1591,10S,544533,4180324
1592,10S,551696,4180959
1593,10S,551570,4181098
1594,10S,549011,4183219
1595,10S,553387,4182643
1596,10S,546532,4180951
1597,10S,546773,4180866
1598,10S,547856,4181742
1599,10S,553889,4163834
1600,10S,547070,4181796
1601,10S,545273,4163750
1602,10S,552816,4182764
1603,10S,552863,4182846
1604,10S,544884,4162787
1605,10S,553293,4183309
1606,10S,553286,4182789
1607,10S,551659,4180797
1608,10S,551319,4181264
1609,10S,551460,4181456
1610,10S,551708,4181270
1611,10S,552274,4182643
1612,10S,552283,4182637
1613,10S,547822,4179802
1614,10S,552701,4182346
1615,10S,552507,4183110
1616,10S,547286,4180216
1617,10S,547335,4181237
1618,10S,552349,4182682
1619,10S,551534,4181190
1620,10S,553504,4183008
1621,10S,551985,4182746
1622,10S,552458,4183088
1623,10S,551501,4181394
1624,10S,551042,4182188
1625,10S,552538,4178381
1626,10S,552287,4177251
1627,10S,553654,4163565
1628,10S,552757,4183575
1629,10S,552255,4177265
1630,10S,552456,4177915
1631,10S,551879,4182683
1632,10S,552853,4182948
1633,10S,552788,4182982
1634,10S,553787,4177078
1635,10S,547735,4181751
1636,10S,547136,4181983
1637,10S,546827,4179775
1638,10S,546559,4179810
1639,10S,552712,4182453
1640,10S,552897,4177144
1641,10S,551966,4182651
1642,10S,544408,4180641
1643,10S,553017,4177210
1644,10S,552084,4183086
1645,10S,547803,4179708
1646,10S,551455,4181442
1647,10S,553612,4163656
1648,10S,553840,4163490
1649,10S,551002,4181403
1650,10S,551026,4181395
1651,10S,550926,4182247
1652,10S,549835,4178086
1653,10S,547377,4177696
1654,10S,552304,4177299
1655,10S,552440,4177886
1656,10S,544334,4180694
1657,10S,548696,4175203
1658,10S,552384,4183110
1659,10S,552661,4175928
1660,10S,544079,4179634
1661,10S,549035,4179204
1662,10S,549971,4178443
1663,10S,548884,4177551
1664,10S,549387,4179412
1665,10S,549521,4178968
1666,10S,550935,4178508
1667,10S,549323,4177721
1668,10S,550972,4178970
1669,10S,549344,4178806
1670,10S,550881,4174097
1671,10S,550727,4179573
1672,10S,552548,4173919
1673,10S,553171,4182331
1674,10S,553167,4182381
1675,10S,552920,4177166
1676,10S,545331,4163458
1677,10S,550035,4178497
1678,10S,553800,4163445
1679,10S,553736,4163288
1680,10S,549291,4177944
1681,10S,553939,4163398
1682,10S,547942,4177711
1683,10S,549759,4179495
1684,10S,553034,4171956
1685,10S,553932,4163368
1686,10S,553875,4163327
1687,10S,550460,4179463
1688,10S,553271,4182491
1689,10S,550544,4178560
1690,10S,550371,4178352
1691,10S,552803,4182786
1692,10S,553978,4163309
1693,10S,549534,4178688
1694,10S,554031,4163483
1695,10S,550992,4178766
1696,10S,545103,4167508
1697,10S,547628,4170660
1698,10S,544229,4176214
1699,10S,553360,4182733
1700,10S,553409,4183033
1701,10S,553532,4183027
1702,10S,553082,4180673
1703,10S,550754,4181012
1704,10S,550680,4180360
1705,10S,551239,4179213
1706,10S,553120,4183114
1707,10S,552312,4182207
1708,10S,546111,4175736
1709,10S,552325,4182206
1710,10S,553156,4182281
1711,10S,550692,4179092
1712,10S,552991,4182862
1713,10S,553427,4182699
1714,10S,551128,4166159
1715,10S,545078,4174015
1716,10S,548956,4164020
1717,10S,545397,4167848
1718,10S,549249,4163674
1719,10S,545723,4174383
1720,10S,552647,4181276
1721,10S,553014,4181716
1722,10S,550751,4176252
1723,10S,549544,4176561
1724,10S,553190,4182853
1725,10S,546539,4179421
1726,10S,553220,4182910
1727,10S,546817,4169642
1728,10S,548637,4166564
1729,10S,548104,4167631
1730,10S,546728,4169637
1731,10S,547223,4168523
1732,10S,548601,4166701
1733,10S,547299,4168474
1734,10S,547050,4169716
1735,10S,546554,4169666
1736,10S,547199,4168536
1737,10S,544988,4166271
1738,10S,548107,4167543
1739,10S,553805,4163223
1740,10S,552728,4183395
1741,10S,552908,4182023
1742,10S,552346,4181716
1743,10S,551234,4181332
1744,10S,553504,4180261
1745,10S,550150,4176425
1746,10S,552399,4182485
1747,10S,553264,4182675
1748,10S,553068,4182940
1749,10S,553004,4182787
1750,10S,552843,4182499
1751,10S,551689,4182306
1752,10S,553134,4183094
1753,10S,551765,4182341
1754,10S,544819,4182219
1755,10S,552851,4182469
1756,10S,553089,4182685
1757,10S,553594,4163403
1758,10S,552818,4180037
1759,10S,552952,4182746
1760,10S,552980,4182787
1761,10S,553066,4182726
1762,10S,552951,4182789
1763,10S,552245,4183341
1764,10S,552146,4182617
1765,10S,548591,4169567
1766,10S,552629,4181930
1767,10S,552100,4183695
1768,10S,543278,4179239
1769,10S,554334,4161869
1770,10S,552211,4182631
1771,10S,551896,4182524
1772,10S,551890,4182525
1773,10S,549152,4179868
1774,10S,551453,4181558
1775,10S,552152,4183696
1776,10S,554382,4161784
1777,10S,554277,4161634
1778,10S,548805,4181173
1779,10S,548626,4181146
1780,10S,548996,4181185
1781,10S,552132,4183086
1782,10S,552639,4183242
1783,10S,553102,4182323
1784,10S,552442,4182467
1785,10S,544548,4173159
1786,10S,553567,4179934
1787,10S,553619,4179010
1788,10S,553607,4179497
1789,10S,553549,4179429
1790,10S,553619,4179003
1791,10S,546085,4175633
1792,10S,552413,4176245
1793,10S,552348,4177245
1794,10S,553818,4179684
1795,10S,551440,4181596
1796,10S,554194,4181157
1797,10S,551673,4176386
1798,10S,552626,4182170
1799,10S,544802,4173520
1800,10S,552862,4182021
1801,10S,550808,4180477
1802,10S,550295,4179509
1803,10S,552186,4183673
1804,10S,546821,4173215
1805,10S,552589,4181946
1806,10S,553662,4174563
1807,10S,550261,4177192
1808,10S,545949,4169522
1809,10S,552484,4182162
1810,10S,549615,4178347
1811,10S,551953,4182353
1812,10S,551952,4182352
1813,10S,552078,4182411
1814,10S,551531,4181028
1815,10S,551874,4182214
1816,10S,552006,4182146
1817,10S,552036,4182205
1818,10S,553021,4182300
1819,10S,552227,4182179
1820,10S,552046,4182174
1821,10S,552284,4182574
1822,10S,552333,4182594
1823,10S,552089,4182275
1824,10S,552097,4182304
1825,10S,551857,4182240
1826,10S,553743,4180811
1827,10S,553583,4181398
1828,10S,552006,4181847
1829,10S,551559,4181396
1830,10S,552340,4181995
1831,10S,551565,4181400
1832,10S,553215,4182989
1833,10S,552502,4182923
1834,10S,549466,4182036
1835,10S,553352,4164425
1836,10S,553739,4162926
1837,10S,554071,4162121
1838,10S,550371,4165722
1839,10S,546587,4170245
1840,10S,552214,4163515
1841,10S,550933,4181393
1842,10S,546766,4180456
1843,10S,550838,4181162
1844,10S,552897,4180976
1845,10S,552573,4183365
1846,10S,547234,4168658
1847,10S,552335,4182153
1848,10S,549012,4183010
1849,10S,551330,4182068
1850,10S,551917,4183255
1851,10S,549365,4168700
1852,10S,551854,4182226
1853,10S,551897,4182532
1854,10S,551899,4182524
1855,10S,552997,4181255
1856,10S,552900,4181507
1857,10S,552657,4181996
1858,10S,552688,4182013
1859,10S,552471,4182097
1860,10S,552549,4181756
1861,10S,552213,4181105
1862,10S,552395,4182490
1863,10S,552713,4182051
1864,10S,552628,4182004
1865,10S,552694,4181956
1866,10S,552698,4181965
1867,10S,552738,4181840
1868,10S,552528,4181994
1869,10S,552725,4182043
1870,10S,552649,4182020
1871,10S,552644,4182022
1872,10S,552727,4182028
1873,10S,552199,4181574
1874,10S,553133,4182257
1875,10S,553189,4182244
1876,10S,552470,4182402
1877,10S,553003,4182223
1878,10S,552325,4182129
1879,10S,553065,4182338
1880,10S,552768,4182115
1881,10S,552286,4182137
1882,10S,552507,4182656
1883,10S,552104,4180091
1884,10S,554774,4164435
1885,10S,550598,4180097
1886,10S,555976,4163981
1887,10S,555015,4162461
1888,10S,552084,4178269
1889,10S,552263,4177290
1890,10S,553149,4168706
1891,10S,552673,4181815
1892,10S,552579,4182045
1893,10S,552535,4181973
1894,10S,550745,4183686
1895,10S,550744,4183694
1896,10S,552535,4181979
1897,10S,551863,4182229
1898,10S,552987,4182375
1899,10S,552984,4182384
1900,10S,552605,4181335
1901,10S,552836,4182006
1902,10S,552405,4181802
1903,10S,552993,4181805
1904,10S,552523,4182000
1905,10S,552349,4181754
1906,10S,553213,4183064
1907,10S,551034,4184128
1908,10S,552940,4182431
1909,10S,553145,4183224
1910,10S,552874,4182495
1911,10S,552500,4181978
1912,10S,551912,4182128
1913,10S,551798,4181276
1914,10S,553038,4182709
1915,10S,553316,4183045
1916,10S,553027,4181896
1917,10S,552732,4183531
1918,10S,552509,4181998
1919,10S,552924,4181629
1920,10S,552070,4183584
1921,10S,551295,4184463
1922,10S,551203,4184452
1923,10S,551314,4184316
1924,10S,551246,4183907
1925,10S,551926,4184282
1926,10S,551002,4184429
1927,10S,549079,4166198
1928,10S,550199,4183603
1929,10S,554585,4163563
1930,10S,551326,4182265
1931,10S,552990,4181855
1932,10S,553178,4183472
1933,10S,552255,4182244
1934,10S,552157,4182226
1935,10S,551966,4183827
1936,10S,552115,4183548
1937,10S,550972,4183390
1938,10S,551631,4184007
1939,10S,545148,4182142
1940,10S,545086,4182299
1941,10S,551189,4183456
1942,10S,546034,4182711
1943,10S,552752,4183440
1944,10S,553277,4166653
1945,10S,552697,4182009
1946,10S,552705,4182046
1947,10S,552553,4183620
1948,10S,552892,4183977
1949,10S,550659,4184262
1950,10S,551897,4182487
1951,10S,550096,4183586
1952,10S,553101,4183019
1953,10S,553099,4183010
1954,10S,551995,4182089
1955,10S,548564,4183791
1956,10S,548100,4183942
1957,10S,550422,4181053
1958,10S,552796,4181969
1959,10S,552433,4181875
1960,10S,547196,4172984
1961,10S,552705,4181834
1962,10S,552695,4181852
1963,10S,553824,4182120
1964,10S,551888,4183785
1965,10S,551923,4180865
1966,10S,551142,4180916
1967,10S,553139,4183366
1968,10S,544950,4176963
1969,10S,545189,4176202
1970,10S,546384,4182346
1971,10S,552206,4183332
1972,10S,552209,4183346
1973,10S,552712,4183242
1974,10S,551310,4180364
1975,10S,551715,4180131
1976,10S,550971,4180295
1977,10S,553152,4183308
1978,10S,553156,4183382
1979,10S,552489,4182416
1980,10S,551027,4180877
1981,10S,551060,4180926
1982,10S,548852,4183680
1983,10S,553144,4182883
1984,10S,553150,4182914
1985,10S,553145,4182867
1986,10S,552841,4183745
1987,10S,546935,4177080
1988,10S,545579,4172411
1989,10S,545697,4175465
1990,10S,550358,4165096
1991,10S,551304,4182422
1992,10S,551693,4183983
1993,10S,552038,4184562
1994,10S,550190,4179166
1995,10S,552729,4183739
1996,10S,550459,4184181
1997,10S,552529,4181180
1998,10S,552989,4163910
1999,10S,552269,4180795
